model;model_detailed;begin;end;gasoline;diesel;hybrid
C-MAX;C-MAX;2003;2019
CAPRI;CAPRI;1989;1994
CONTOUR;CONTOUR;1995;2000
CORCEL;CORCEL;1968;1996
CORSAIR;CORSAIR;1989;1992
COUGAR;COUGAR;1999;2002
DEL REY;DEL REY;1981;1991
E-SERIES;E-SERIES;1961;2014
ECONOLINE;ECONOLINE;1978;2013
ECOSPORT;ECOSPORT;2004;-1
EDGE;EDGE;2007;-1
ENDEAVOUR;ENDEAVOUR;2002;-1
ESCAPE;ESCAPE;2001;-1
ESCORT;ESCORT;2015;-1
ESCORT;ESCORT;1968;2000
ESCORT;ESCORT;1981;2002
EVEREST;EVEREST;2003;-1
EVEREST;EVEREST;2003;-1
EXCURSION;EXCURSION;2000;2005
EXPEDITION;EXPEDITION;1997;-1
EXPEDITION EL/MAX;EXPEDITION EL/MAX;2007;-1
EXPLORER;EXPLORER;1991;-1
FIESTA;FIESTA;1976;-1
FIGO;FIGO;2010;2019
FIVE HUNDRED;FIVE HUNDRED;2005;2007
FLEX;FLEX;2009;2019
FOCUS;FOCUS;1998;-1
FOCUS;FOCUS;2000;2019
FOCUS C-MAX;FOCUS C-MAX;2003;2019
FREESTAR;FREESTAR;2004;2007
FREESTYLE;FREESTYLE;2005;2007
FREESTYLE;FREESTYLE;2005;2007
FUSION;FUSION;2002;2012
FUSION;FUSION;2006;2020
GALAXY;GALAXY;1995;-1
GRANADA;GRANADA;1972;1994
GT;GT;2003;2006
GTX1;GTX1;2005;2006
HUSKY;HUSKY;1987;-1
IKON;IKON;2000;-1
KA;KA;1996;-1
KA+;KA+;2017;-1
KUGA;KUGA;2008;-1
LASER;LASER;1980;2003
LTD;LTD;1973;2007
MONDEO;MONDEO;1993;-1
MONDEO METROSTAR;MONDEO METROSTAR;2000;2006
MUSTANG;MUSTANG;1965;-1
MUSTANG MAXUM;MUSTANG MAXUM GTP;1987
ORION;ORION;1983;1993
PAMPA;PAMPA;1982;1997
PROBE;PROBE;1989;1997
PUMA;PUMA;2019;-1
RAIDER;RAIDER;1985;1998
ROYALE;ROYALE;1992;1995
S-MAX;S-MAX;2006;-1
S-MAX;S-MAX;2008;-1
SCORPIO;SCORPIO;1985;1999
SIERRA;SIERRA;1982;1992
SPORTKA;SPORTKA;2003;2006
STREETKA;STREETKA;2003;2006
TAURUS;TAURUS;1986;2019
TAURUS X;TAURUS X;2008;2009
TELSTAR;TELSTAR;1983;1999
TEMPO;TEMPO;1984;1994
TERRITORY;TERRITORY;2004;2016
THUNDERBIRD;THUNDERBIRD;1955;1997
TOURNEO;TOURNEO;1995;-1
TOURNEO CONNECT;TOURNEO CONNECT;2002;-1
TRANSIT;TRANSIT;1965;-1
TRANSIT CONNECT;TRANSIT CONNECT;2002;-1
TRANSIT COURIER;TRANSIT COURIER;2014;-1
TRANSIT CUSTOM;TRANSIT CUSTOM;2012;-1
TRANSIT CUSTOM NUGGET;TRANSIT CUSTOM NUGGET;2019;-1
VERONA;VERONA;1989;1996
VERSAILLES;VERSAILLES;1992;1996
WINDSTAR;WINDSTAR;1995;2004
ZX2;ZX2;1998;2003
ENDEAVOUR;ENDEAVOUR;2002;-1
ESCAPE;ESCAPE;2001;-1
EVEREST;EVEREST;2003;-1
EXCURSION;EXCURSION;2000;2005
EXPEDITION;EXPEDITION;1997;-1
EXPEDITION EL/MAX;EXPEDITION EL/MAX;2007;-1
EXPLORER;EXPLORER;1991;-1
FIERA;FIERA;1972;1984
FLEX;FLEX;2009;2019
FREESTYLE;FREESTYLE;2005;2007
FUSION;FUSION;2002;2012
KUGA;KUGA;2008;-1
RAIDER;RAIDER;1985;1998
TAURUS X;TAURUS X;2008;2009
TERRITORY;TERRITORY;2004;2016
TOURNEO CUSTOM;Tourneo Custom;2012;2017
TOURNEO CUSTOM;Tourneo Custom;2018;-1
GRAND TOURNEO CONNECT;Ford Grand Tourneo Connect;2016;-1
GRAND TOURNEO CONNECT;Ford Grand Tourneo Connect;2013;2015
KA+;KA+;2018;-1
KA+;KA+;2016;2018
